"";"Plant";"Type";"Treatment";"conc";"uptake"
"43";"Mn1";"Mississippi";"nonchilled";95;10,6
"44";"Mn1";"Mississippi";"nonchilled";175;19,2
"45";"Mn1";"Mississippi";"nonchilled";250;26,2
"46";"Mn1";"Mississippi";"nonchilled";350;30
"47";"Mn1";"Mississippi";"nonchilled";500;30,9
"48";"Mn1";"Mississippi";"nonchilled";675;32,4
"49";"Mn1";"Mississippi";"nonchilled";1000;35,5
"50";"Mn2";"Mississippi";"nonchilled";95;12
"51";"Mn2";"Mississippi";"nonchilled";175;22
"52";"Mn2";"Mississippi";"nonchilled";250;30,6
"53";"Mn2";"Mississippi";"nonchilled";350;31,8
"54";"Mn2";"Mississippi";"nonchilled";500;32,4
"55";"Mn2";"Mississippi";"nonchilled";675;31,1
"56";"Mn2";"Mississippi";"nonchilled";1000;31,5
"57";"Mn3";"Mississippi";"nonchilled";95;11,3
"58";"Mn3";"Mississippi";"nonchilled";175;19,4
"59";"Mn3";"Mississippi";"nonchilled";250;25,8
"60";"Mn3";"Mississippi";"nonchilled";350;27,9
"61";"Mn3";"Mississippi";"nonchilled";500;28,5
"62";"Mn3";"Mississippi";"nonchilled";675;28,1
"63";"Mn3";"Mississippi";"nonchilled";1000;27,8
"64";"Mc1";"Mississippi";"chilled";95;10,5
"65";"Mc1";"Mississippi";"chilled";175;14,9
"66";"Mc1";"Mississippi";"chilled";250;18,1
"67";"Mc1";"Mississippi";"chilled";350;18,9
"68";"Mc1";"Mississippi";"chilled";500;19,5
"69";"Mc1";"Mississippi";"chilled";675;22,2
"70";"Mc1";"Mississippi";"chilled";1000;21,9
"71";"Mc2";"Mississippi";"chilled";95;7,7
"72";"Mc2";"Mississippi";"chilled";175;11,4
"73";"Mc2";"Mississippi";"chilled";250;12,3
"74";"Mc2";"Mississippi";"chilled";350;13
"75";"Mc2";"Mississippi";"chilled";500;12,5
"76";"Mc2";"Mississippi";"chilled";675;13,7
"77";"Mc2";"Mississippi";"chilled";1000;14,4
"78";"Mc3";"Mississippi";"chilled";95;10,6
"79";"Mc3";"Mississippi";"chilled";175;18
"80";"Mc3";"Mississippi";"chilled";250;17,9
"81";"Mc3";"Mississippi";"chilled";350;17,9
"82";"Mc3";"Mississippi";"chilled";500;17,9
"83";"Mc3";"Mississippi";"chilled";675;18,9
"84";"Mc3";"Mississippi";"chilled";1000;19,9
